,ID,Clothing ID,Age,Rating,Division Name,Department Name,Class Name,USER ID,New Clothing ID
1,1,1080,34,5,General,Dresses,Dresses,1,30
2,2,1077,60,3,General,Dresses,Dresses,2,27
3,3,1049,50,5,General Petite,Bottoms,Pants,3,11
5,5,1080,49,2,General,Dresses,Dresses,5,30
8,8,1077,24,5,General,Dresses,Dresses,7,27
9,9,1077,34,5,General,Dresses,Dresses,1,27
10,10,1077,53,3,General,Dresses,Dresses,8,27
11,11,1095,39,5,General Petite,Dresses,Dresses,9,44
12,12,1095,53,5,General Petite,Dresses,Dresses,10,44
14,14,1077,50,3,General,Dresses,Dresses,12,27
19,19,1077,47,5,General,Dresses,Dresses,17,27
21,21,1080,55,4,General,Dresses,Dresses,19,30
22,22,1077,31,2,General,Dresses,Dresses,20,27
23,23,1077,34,3,General,Dresses,Dresses,1,27
26,26,949,33,2,General,Tops,Sweaters,23,130
30,30,1060,33,5,General Petite,Bottoms,Pants,27,19
31,31,1060,46,5,General Petite,Bottoms,Pants,28,19
32,32,1060,21,5,General Petite,Bottoms,Pants,29,19
33,33,949,36,2,General,Tops,Sweaters,30,130
35,35,1060,65,4,General Petite,Bottoms,Pants,32,19
37,37,949,38,5,General,Tops,Sweaters,34,130
39,39,862,59,5,General,Tops,Knits,36,90
40,40,862,47,4,General,Tops,Knits,37,90
41,41,862,40,5,General,Tops,Knits,38,90
44,44,862,48,5,General,Tops,Knits,41,90
45,45,862,43,4,General,Tops,Knits,42,90
46,46,862,40,5,General,Tops,Knits,38,90
47,47,823,52,5,General,Tops,Blouses,43,67
49,49,862,33,5,General,Tops,Knits,45,90
50,50,862,46,4,General,Tops,Knits,46,90
51,51,862,41,5,General,Tops,Knits,47,90
52,52,1104,39,3,General,Dresses,Dresses,48,50
53,53,862,39,5,General,Tops,Knits,49,90
54,54,862,66,4,General,Tops,Knits,50,90
55,55,862,61,5,General,Tops,Knits,51,90
57,57,862,31,3,General,Tops,Knits,52,90
58,58,1095,36,4,General Petite,Dresses,Dresses,53,44
60,60,1095,41,5,General Petite,Dresses,Dresses,55,44
62,62,862,28,5,General,Tops,Knits,57,90
63,63,862,57,5,General,Tops,Knits,58,90
64,64,862,43,5,General,Tops,Knits,42,90
65,65,862,58,4,General,Tops,Knits,59,90
66,66,862,60,4,General,Tops,Knits,60,90
67,67,862,40,5,General,Tops,Knits,38,90
68,68,862,37,2,General,Tops,Knits,61,90
69,69,1078,56,3,General Petite,Dresses,Dresses,62,28
71,71,822,36,2,General,Tops,Blouses,64,66
72,72,850,27,5,General,Tops,Blouses,65,84
73,73,866,47,4,General Petite,Tops,Knits,66,94
74,74,1081,59,5,General Petite,Dresses,Dresses,67,31
76,76,1082,31,4,General,Dresses,Dresses,20,32
77,77,850,28,2,General Petite,Tops,Blouses,69,84
78,78,836,47,5,General,Tops,Blouses,4,78
79,79,1081,62,4,General Petite,Dresses,Dresses,70,31
80,80,1072,68,5,General,Dresses,Dresses,71,23
81,81,863,61,5,General Petite,Tops,Knits,72,91
83,83,822,68,5,General,Tops,Blouses,74,66
84,84,861,37,3,General Petite,Tops,Knits,75,89
85,85,866,58,1,General Petite,Tops,Knits,76,94
86,86,850,39,4,General Petite,Tops,Blouses,77,84
87,87,1081,39,4,General Petite,Dresses,Dresses,9,31
89,89,836,24,4,General,Tops,Blouses,78,78
90,90,1078,51,4,General Petite,Dresses,Dresses,79,28
91,91,850,29,5,General Petite,Tops,Blouses,80,84
92,92,861,23,5,General Petite,Tops,Knits,81,89
93,93,1081,31,5,General,Dresses,Dresses,20,31
94,94,850,23,4,General Petite,Tops,Blouses,82,84
95,95,863,83,5,General,Tops,Knits,83,91
97,97,861,44,1,General Petite,Tops,Knits,85,89
99,99,861,33,3,General Petite,Tops,Knits,87,89
100,100,861,39,4,General Petite,Tops,Knits,6,89
101,101,863,40,4,General,Tops,Knits,38,91
102,102,822,69,5,General,Tops,Blouses,88,66
103,103,822,23,2,General,Tops,Blouses,89,66
104,104,863,51,2,General,Tops,Knits,90,91
105,105,836,66,5,General,Tops,Blouses,91,78
106,106,836,47,4,General,Tops,Blouses,4,78
107,107,836,66,4,General,Tops,Blouses,91,78
108,108,836,23,5,General,Tops,Blouses,89,78
109,109,1081,47,5,General,Dresses,Dresses,17,31
110,110,861,44,1,General Petite,Tops,Knits,85,89
111,111,1081,44,3,General,Dresses,Dresses,92,31
112,112,836,50,5,General,Tops,Blouses,93,78
113,113,1081,61,5,General,Dresses,Dresses,94,31
114,114,1082,32,2,General,Dresses,Dresses,95,32
115,115,863,52,4,General,Tops,Knits,96,91
116,116,1072,51,4,General,Dresses,Dresses,97,23
117,117,1078,32,5,General Petite,Dresses,Dresses,98,28
118,118,850,37,2,General,Tops,Blouses,99,84
119,119,836,54,5,General,Tops,Blouses,100,78
120,120,861,33,5,General Petite,Tops,Knits,87,89
123,123,836,24,5,General,Tops,Blouses,78,78
125,125,1072,34,3,General,Dresses,Dresses,1,23
129,129,863,28,5,General,Tops,Knits,57,91
131,131,1081,39,3,General,Dresses,Dresses,48,31
132,132,861,46,4,General Petite,Tops,Knits,108,89
135,135,861,35,4,General Petite,Tops,Knits,111,89
137,137,836,52,4,General,Tops,Blouses,43,78
139,139,1008,31,5,General,Bottoms,Skirts,24,146
140,140,829,36,5,General,Tops,Blouses,64,72
141,141,828,39,4,General,Tops,Blouses,114,71
142,142,1126,35,5,General,Jackets,Outerwear,115,59
143,143,1008,51,5,General,Bottoms,Skirts,116,146
144,144,829,39,3,General,Tops,Blouses,114,72
145,145,828,39,3,General,Tops,Blouses,114,71
146,146,1008,39,5,General,Bottoms,Skirts,117,146
148,148,1008,64,5,General,Bottoms,Skirts,119,146
149,149,1008,38,5,General,Bottoms,Skirts,120,146
150,150,1008,36,5,General,Bottoms,Skirts,121,146
151,151,1008,39,4,General,Bottoms,Skirts,117,146
152,152,829,53,3,General,Tops,Blouses,122,72
153,153,829,36,3,General,Tops,Blouses,64,72
154,154,829,44,3,General Petite,Tops,Blouses,84,72
155,155,829,48,5,General Petite,Tops,Blouses,68,72
156,156,1008,37,5,General,Bottoms,Skirts,123,146
158,158,829,53,4,General Petite,Tops,Blouses,125,72
159,159,829,33,4,General Petite,Tops,Blouses,126,72
160,160,1126,39,4,General,Jackets,Outerwear,127,59
161,161,829,52,1,General Petite,Tops,Blouses,128,72
162,162,829,64,4,General Petite,Tops,Blouses,129,72
163,163,1008,52,5,General,Bottoms,Skirts,130,146
164,164,1126,42,4,General,Jackets,Outerwear,131,59
165,165,829,35,3,General Petite,Tops,Blouses,132,72
166,166,1020,56,5,General Petite,Bottoms,Skirts,133,148
167,167,895,55,5,General,Tops,Fine gauge,134,111
168,168,862,40,5,General,Tops,Knits,38,90
169,169,1104,47,5,General,Dresses,Dresses,17,50
173,173,868,51,4,General Petite,Tops,Knits,138,96
174,174,1020,34,5,General Petite,Bottoms,Skirts,139,148
175,175,862,30,4,General,Tops,Knits,140,90
176,176,895,43,5,General,Tops,Fine gauge,141,111
177,177,895,52,5,General,Tops,Fine gauge,142,111
178,178,1094,35,2,General Petite,Dresses,Dresses,143,43
179,179,895,41,5,General,Tops,Fine gauge,144,111
180,180,895,39,5,General,Tops,Fine gauge,145,111
181,181,1020,39,4,General Petite,Bottoms,Skirts,146,148
182,182,895,50,5,General,Tops,Fine gauge,147,111
183,183,1020,27,4,General Petite,Bottoms,Skirts,148,148
184,184,895,33,2,General,Tops,Fine gauge,149,111
185,185,895,35,2,General,Tops,Fine gauge,150,111
186,186,1020,34,4,General Petite,Bottoms,Skirts,139,148
188,188,1094,54,4,General Petite,Dresses,Dresses,152,43
189,189,1020,41,4,General Petite,Bottoms,Skirts,153,148
190,190,895,47,4,General Petite,Tops,Fine gauge,154,111
191,191,895,52,2,General Petite,Tops,Fine gauge,155,111
192,192,895,46,5,General Petite,Tops,Fine gauge,156,111
193,193,1020,22,5,General Petite,Bottoms,Skirts,157,148
194,194,1098,40,3,General,Dresses,Dresses,158,46
195,195,895,62,5,General Petite,Tops,Fine gauge,159,111
196,196,862,26,5,General Petite,Tops,Knits,160,90
197,197,1020,38,5,General Petite,Bottoms,Skirts,161,148
198,198,895,53,5,General,Tops,Fine gauge,162,111
199,199,1020,49,3,General Petite,Bottoms,Skirts,163,148
200,200,895,43,3,General,Tops,Fine gauge,141,111
201,201,895,36,5,General,Tops,Fine gauge,164,111
202,202,895,36,3,General,Tops,Fine gauge,164,111
203,203,895,63,5,General,Tops,Fine gauge,165,111
204,204,828,56,4,General,Tops,Blouses,166,71
205,205,1020,48,3,General Petite,Bottoms,Skirts,167,148
206,206,862,43,5,General,Tops,Knits,42,90
207,207,1020,44,4,General Petite,Bottoms,Skirts,168,148
208,208,895,40,5,General,Tops,Fine gauge,169,111
209,209,862,44,1,General,Tops,Knits,170,90
210,210,895,54,5,General,Tops,Fine gauge,171,111
211,211,1020,72,4,General Petite,Bottoms,Skirts,172,148
212,212,1075,52,4,General,Dresses,Dresses,173,25
213,213,1104,47,5,General,Dresses,Dresses,17,50
214,214,1020,67,1,General Petite,Bottoms,Skirts,174,148
215,215,1094,39,5,General Petite,Dresses,Dresses,9,43
217,217,828,64,5,General,Tops,Blouses,176,71
218,218,1094,30,5,General Petite,Dresses,Dresses,177,43
219,219,828,38,5,General,Tops,Blouses,178,71
220,220,895,36,4,General Petite,Tops,Fine gauge,179,111
221,221,1020,52,5,General Petite,Bottoms,Skirts,180,148
222,222,895,61,5,General Petite,Tops,Fine gauge,181,111
224,224,1025,38,4,General,Bottoms,Jeans,183,1
225,225,1025,35,5,General,Bottoms,Jeans,184,1
226,226,815,55,5,General Petite,Tops,Blouses,185,62
227,227,1066,57,4,General,Bottoms,Pants,186,20
228,228,840,55,4,General,Tops,Blouses,21,81
230,230,840,39,5,General,Tops,Blouses,114,81
231,231,1066,46,5,General,Bottoms,Pants,188,20
232,232,840,37,2,General,Tops,Blouses,99,81
233,233,1030,29,5,General,Bottoms,Jeans,189,3
234,234,840,83,5,General,Tops,Blouses,190,81
235,235,1066,29,5,General,Bottoms,Pants,191,20
237,237,1066,42,2,General,Bottoms,Pants,193,20
238,238,872,63,5,General,Tops,Knits,194,100
239,239,840,56,3,General,Tops,Blouses,166,81
240,240,1066,55,4,General,Bottoms,Pants,195,20
242,242,1066,26,5,General,Bottoms,Pants,197,20
243,243,840,60,4,General,Tops,Blouses,198,81
244,244,1066,48,3,General,Bottoms,Pants,199,20
245,245,872,38,5,General,Tops,Knits,200,100
246,246,1066,49,3,General,Bottoms,Pants,201,20
248,248,1030,28,5,General,Bottoms,Jeans,203,3
251,251,840,32,5,General,Tops,Blouses,206,81
252,252,1066,29,5,General,Bottoms,Pants,191,20
254,254,840,28,5,General,Tops,Blouses,207,81
255,255,840,51,4,General,Tops,Blouses,208,81
256,256,840,44,5,General,Tops,Blouses,209,81
258,258,840,48,3,General,Tops,Blouses,211,81
259,259,824,37,5,General,Tops,Blouses,99,68
261,261,840,50,5,General,Tops,Blouses,93,81
262,262,878,47,3,General,Tops,Knits,37,105
263,263,984,56,5,General Petite,Jackets,Jackets,213,137
264,264,1104,25,5,General,Dresses,Dresses,214,50
265,265,878,63,4,General,Tops,Knits,194,105
266,266,1104,54,5,General,Dresses,Dresses,215,50
267,267,984,28,4,General Petite,Jackets,Jackets,216,137
268,268,866,26,4,General,Tops,Knits,217,94
269,269,1104,29,5,General,Dresses,Dresses,218,50
270,270,868,61,3,General,Tops,Knits,51,96
271,271,984,45,5,General Petite,Jackets,Jackets,219,137
272,272,984,39,5,General Petite,Jackets,Jackets,220,137
273,273,1104,36,5,General,Dresses,Dresses,221,50
274,274,878,41,5,General,Tops,Knits,47,105
276,276,868,55,5,General,Tops,Knits,222,96
277,277,868,83,5,General,Tops,Knits,83,96
278,278,868,35,3,General,Tops,Knits,223,96
280,280,984,35,5,General Petite,Jackets,Jackets,225,137
281,281,1104,45,5,General,Dresses,Dresses,226,50
282,282,868,65,5,General,Tops,Knits,227,96
283,283,878,41,5,General,Tops,Knits,47,105
284,284,868,69,4,General,Tops,Knits,228,96
285,285,1104,36,5,General,Dresses,Dresses,221,50
286,286,868,42,2,General,Tops,Knits,229,96
287,287,984,69,5,General Petite,Jackets,Jackets,230,137
288,288,878,46,2,General,Tops,Knits,46,105
289,289,984,55,5,General Petite,Jackets,Jackets,231,137
290,290,984,36,5,General Petite,Jackets,Jackets,232,137
291,291,984,71,5,General Petite,Jackets,Jackets,233,137
292,292,1024,65,5,General,Bottoms,Jeans,234,0
293,293,984,68,3,General Petite,Jackets,Jackets,235,137
294,294,984,43,5,General Petite,Jackets,Jackets,236,137
295,295,1104,30,5,General,Dresses,Dresses,237,50
296,296,1024,40,5,General,Bottoms,Jeans,238,0
297,297,984,47,5,General Petite,Jackets,Jackets,239,137
298,298,1104,39,5,General,Dresses,Dresses,48,50
299,299,984,34,5,General Petite,Jackets,Jackets,240,137
300,300,1104,38,4,General,Dresses,Dresses,241,50
301,301,984,38,5,General Petite,Jackets,Jackets,242,137
302,302,895,36,5,General,Tops,Fine gauge,164,111
303,303,1104,41,5,General,Dresses,Dresses,243,50
305,305,984,47,5,General Petite,Jackets,Jackets,239,137
306,306,1104,63,5,General,Dresses,Dresses,245,50
307,307,831,35,5,General,Tops,Blouses,246,74
308,308,984,35,4,General Petite,Jackets,Jackets,225,137
309,309,1104,56,5,General,Dresses,Dresses,247,50
310,310,836,41,5,General,Tops,Blouses,15,78
311,311,1089,37,3,General Petite,Dresses,Dresses,248,39
312,312,844,34,3,General Petite,Tops,Blouses,249,83
313,313,836,32,4,General,Tops,Blouses,206,78
314,314,836,60,3,General,Tops,Blouses,198,78
315,315,836,21,5,General,Tops,Blouses,250,78
316,316,836,59,5,General,Tops,Blouses,251,78
317,317,844,53,5,General Petite,Tops,Blouses,125,83
318,318,936,27,5,General Petite,Tops,Sweaters,252,123
319,319,895,62,5,General,Tops,Fine gauge,253,111
320,320,836,41,5,General,Tops,Blouses,15,78
321,321,831,50,5,General,Tops,Blouses,93,74
322,322,844,54,5,General Petite,Tops,Blouses,254,83
323,323,895,47,5,General,Tops,Fine gauge,255,111
324,324,1066,41,5,General,Bottoms,Pants,256,20
325,325,844,43,2,General Petite,Tops,Blouses,257,83
326,326,836,43,5,General,Tops,Blouses,258,78
327,327,836,23,4,General,Tops,Blouses,89,78
328,328,907,25,5,General,Tops,Fine gauge,259,116
329,329,836,51,5,General,Tops,Blouses,208,78
330,330,844,41,3,General Petite,Tops,Blouses,260,83
331,331,1103,49,4,General,Dresses,Dresses,5,49
332,332,866,46,5,General,Tops,Knits,46,94
333,333,907,29,5,General,Tops,Fine gauge,261,116
334,334,844,53,1,General Petite,Tops,Blouses,125,83
335,335,895,66,5,General,Tops,Fine gauge,262,111
336,336,895,32,5,General,Tops,Fine gauge,263,111
337,337,1080,74,5,General Petite,Dresses,Dresses,264,30
338,338,831,63,5,General,Tops,Blouses,265,74
339,339,844,41,5,General Petite,Tops,Blouses,260,83
340,340,844,40,4,General Petite,Tops,Blouses,266,83
341,341,831,40,5,General,Tops,Blouses,267,74
342,342,836,32,5,General,Tops,Blouses,206,78
343,343,907,49,5,General,Tops,Fine gauge,268,116
344,344,844,44,3,General Petite,Tops,Blouses,84,83
345,345,895,24,5,General,Tops,Fine gauge,269,111
346,346,895,70,5,General,Tops,Fine gauge,270,111
347,347,907,30,5,General,Tops,Fine gauge,271,116
348,348,844,47,5,General Petite,Tops,Blouses,272,83
349,349,836,27,3,General,Tops,Blouses,65,78
350,350,844,36,2,General Petite,Tops,Blouses,273,83
351,351,844,69,4,General Petite,Tops,Blouses,274,83
352,352,844,52,5,General Petite,Tops,Blouses,128,83
353,353,936,32,2,General Petite,Tops,Sweaters,275,123
354,354,907,37,5,General,Tops,Fine gauge,276,116
355,355,936,32,5,General Petite,Tops,Sweaters,275,123
356,356,831,42,1,General,Tops,Blouses,277,74
357,357,907,51,5,General,Tops,Fine gauge,278,116
358,358,862,34,3,General Petite,Tops,Knits,279,90
359,359,836,37,3,General,Tops,Blouses,99,78
360,360,936,50,4,General Petite,Tops,Sweaters,280,123
361,361,895,36,5,General Petite,Tops,Fine gauge,179,111
362,362,836,65,3,General,Tops,Blouses,281,78
364,364,895,46,5,General Petite,Tops,Fine gauge,156,111
365,365,862,38,4,General,Tops,Knits,200,90
366,366,862,37,5,General,Tops,Knits,61,90
367,367,844,46,5,General Petite,Tops,Blouses,283,83
368,368,836,29,2,General,Tops,Blouses,284,78
369,369,895,39,5,General Petite,Tops,Fine gauge,285,111
370,370,836,25,5,General,Tops,Blouses,286,78
371,371,895,64,5,General Petite,Tops,Fine gauge,287,111
372,372,895,57,5,General Petite,Tops,Fine gauge,288,111
373,373,895,44,5,General Petite,Tops,Fine gauge,289,111
374,374,836,44,5,General,Tops,Blouses,209,78
376,376,862,37,3,General,Tops,Knits,61,90
377,377,1049,48,5,General,Bottoms,Pants,199,11
378,378,862,35,5,General,Tops,Knits,223,90
379,379,1089,67,5,General Petite,Dresses,Dresses,290,39
380,380,1089,24,4,General Petite,Dresses,Dresses,291,39
381,381,1104,59,3,General,Dresses,Dresses,292,50
383,383,1104,42,3,General,Dresses,Dresses,294,50
384,384,936,29,5,General,Tops,Sweaters,295,123
386,386,995,41,2,General,Bottoms,Skirts,296,141
387,387,936,62,5,General,Tops,Sweaters,297,123
389,389,1104,38,1,General,Dresses,Dresses,241,50
390,390,1086,25,4,General,Dresses,Dresses,214,36
391,391,936,33,5,General,Tops,Sweaters,23,123
393,393,1081,53,4,General Petite,Dresses,Dresses,10,31
395,395,936,33,3,General,Tops,Sweaters,23,123
397,397,1035,32,5,General,Bottoms,Jeans,301,6
399,399,995,62,5,General,Bottoms,Skirts,303,141
400,400,1104,35,5,General,Dresses,Dresses,304,50
401,401,1089,34,5,General Petite,Dresses,Dresses,305,39
402,402,1086,26,3,General,Dresses,Dresses,306,36
405,405,1094,40,5,General,Dresses,Dresses,158,43
406,406,1086,22,3,General,Dresses,Dresses,309,36
407,407,936,55,5,General,Tops,Sweaters,310,123
409,409,936,39,5,General,Tops,Sweaters,312,123
410,410,1094,30,5,General,Dresses,Dresses,237,43
411,411,1094,53,5,General,Dresses,Dresses,8,43
412,412,1086,23,5,General,Dresses,Dresses,313,36
415,415,1083,37,4,General,Dresses,Dresses,316,33
416,416,872,35,5,General,Tops,Knits,223,100
417,417,1083,35,2,General,Dresses,Dresses,304,33
418,418,831,40,5,General,Tops,Blouses,267,74
419,419,1080,32,3,General,Dresses,Dresses,95,30
420,420,1077,68,5,General,Dresses,Dresses,71,27
421,421,872,65,4,General,Tops,Knits,227,100
422,422,964,37,5,General,Jackets,Jackets,317,133
423,423,1089,39,3,General Petite,Dresses,Dresses,9,39
424,424,872,22,4,General,Tops,Knits,318,100
425,425,1083,50,5,General,Dresses,Dresses,12,33
426,426,829,33,4,General,Tops,Blouses,18,72
427,427,964,33,5,General,Jackets,Jackets,319,133
428,428,1089,38,5,General Petite,Dresses,Dresses,320,39
429,429,829,32,5,General,Tops,Blouses,206,72
430,430,829,51,5,General,Tops,Blouses,208,72
432,432,829,38,4,General,Tops,Blouses,178,72
433,433,829,35,4,General,Tops,Blouses,246,72
434,434,872,48,4,General,Tops,Knits,41,100
435,435,872,31,4,General,Tops,Knits,52,100
437,437,964,58,5,General,Jackets,Jackets,323,133
438,438,1030,63,5,General,Bottoms,Jeans,324,3
439,439,964,40,5,General,Jackets,Jackets,325,133
440,440,1083,41,4,General,Dresses,Dresses,243,33
441,441,872,60,4,General,Tops,Knits,60,100
442,442,872,60,5,General,Tops,Knits,60,100
443,443,829,48,4,General,Tops,Blouses,211,72
444,444,872,70,4,General,Tops,Knits,326,100
445,445,964,27,5,General,Jackets,Jackets,327,133
446,446,1089,32,3,General Petite,Dresses,Dresses,98,39
447,447,872,26,3,General,Tops,Knits,217,100
448,448,872,51,5,General,Tops,Knits,90,100
449,449,872,48,5,General,Tops,Knits,41,100
450,450,1077,30,2,General,Dresses,Dresses,237,27
452,452,872,27,5,General,Tops,Knits,328,100
453,453,964,44,5,General,Jackets,Jackets,329,133
454,454,872,39,5,General,Tops,Knits,49,100
457,457,829,60,4,General,Tops,Blouses,198,72
458,458,829,44,4,General,Tops,Blouses,209,72
459,459,872,71,5,General,Tops,Knits,332,100
460,460,872,44,5,General,Tops,Knits,170,100
461,461,850,52,5,General Petite,Tops,Blouses,128,84
462,462,850,23,3,General Petite,Tops,Blouses,82,84
464,464,833,48,5,General,Tops,Blouses,211,75
465,465,862,35,5,General,Tops,Knits,223,90
466,466,850,59,5,General Petite,Tops,Blouses,334,84
467,467,1078,61,5,General,Dresses,Dresses,94,28
468,468,850,45,5,General Petite,Tops,Blouses,335,84
469,469,1104,25,5,General,Dresses,Dresses,214,50
470,470,1078,33,3,General,Dresses,Dresses,336,28
471,471,984,40,4,General,Jackets,Jackets,325,137
472,472,850,68,5,General Petite,Tops,Blouses,337,84
474,474,1078,20,5,General,Dresses,Dresses,339,28
475,475,862,42,2,General,Tops,Knits,229,90
476,476,1078,52,5,General,Dresses,Dresses,173,28
